               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 133,            0.019641,            0.018463,           0.0034103,             0.92608,             0.86023,             0.92399,             0.70137,            0.030637,           0.0073066,           0.0064564,            0.005644,            0.005644,            0.005644
                 134,            0.019494,            0.019202,           0.0034795,             0.86684,              0.9194,             0.93868,             0.70453,            0.031237,           0.0072194,           0.0085113,            0.005611,            0.005611,            0.005611
                 135,            0.019349,            0.019242,           0.0037682,             0.89034,             0.89758,             0.92876,             0.71573,            0.030244,           0.0070895,           0.0071704,            0.005578,            0.005578,            0.005578
                 136,            0.019131,            0.018776,            0.003435,             0.89774,             0.93234,             0.94252,             0.68982,            0.030339,           0.0072837,           0.0048396,            0.005545,            0.005545,            0.005545
                 137,            0.018909,            0.018552,           0.0037072,             0.90944,             0.89869,             0.91457,             0.71716,            0.027339,           0.0073846,           0.0071652,            0.005512,            0.005512,            0.005512
                 138,            0.020023,            0.018583,           0.0037645,             0.88438,             0.89869,              0.9172,             0.70729,            0.028826,           0.0072096,           0.0055202,            0.005479,            0.005479,            0.005479
                 139,            0.019043,            0.019149,           0.0035784,             0.90581,             0.92433,             0.93418,             0.69864,            0.029188,            0.007268,           0.0079416,            0.005446,            0.005446,            0.005446
                 140,            0.020194,             0.01901,           0.0037165,             0.87854,              0.9224,             0.91974,             0.71513,            0.031503,           0.0068885,           0.0046775,            0.005413,            0.005413,            0.005413
                 141,            0.019372,            0.017577,            0.003435,             0.89211,             0.90969,             0.93837,             0.71217,            0.032211,           0.0073334,           0.0032241,             0.00538,             0.00538,             0.00538
                 142,            0.019384,            0.018455,           0.0035433,             0.91269,             0.86272,             0.91346,             0.72915,            0.033315,           0.0071233,           0.0043281,            0.005347,            0.005347,            0.005347
                 143,            0.019129,            0.018046,           0.0033497,             0.88391,             0.93106,             0.92532,             0.71704,            0.031658,           0.0072162,           0.0048106,            0.005314,            0.005314,            0.005314
                 144,            0.018838,            0.017589,           0.0032356,             0.89053,             0.92723,             0.93348,             0.68869,            0.032013,            0.007448,           0.0061234,            0.005281,            0.005281,            0.005281
                 145,            0.019741,             0.01802,           0.0032789,             0.89447,             0.88524,             0.90343,             0.71125,            0.032965,           0.0070562,           0.0059502,            0.005248,            0.005248,            0.005248
                 146,            0.018964,            0.018095,           0.0033821,             0.87206,             0.92315,             0.92983,             0.71293,            0.032836,           0.0070119,           0.0032102,            0.005215,            0.005215,            0.005215
                 147,            0.019227,            0.018052,           0.0036176,             0.94303,             0.88188,             0.93257,              0.7005,            0.033032,             0.00736,           0.0029865,            0.005182,            0.005182,            0.005182
                 148,            0.018754,            0.018303,           0.0034563,             0.92245,             0.87458,             0.93083,             0.72248,             0.03206,           0.0076022,           0.0033889,            0.005149,            0.005149,            0.005149
                 149,            0.018931,            0.018268,           0.0035107,             0.92064,             0.82176,             0.91426,             0.71419,            0.031814,           0.0076402,            0.004754,            0.005116,            0.005116,            0.005116
                 150,            0.018532,            0.018058,           0.0032958,             0.86596,             0.94864,             0.93052,             0.72758,            0.031605,           0.0068432,           0.0072016,            0.005083,            0.005083,            0.005083
                 151,            0.018789,            0.017617,           0.0035086,             0.86575,             0.92435,             0.93241,              0.7427,            0.032184,           0.0068066,           0.0070267,             0.00505,             0.00505,             0.00505
                 152,            0.018623,            0.017884,           0.0035377,             0.87466,             0.93311,             0.93769,              0.7477,            0.032699,           0.0070754,           0.0077232,            0.005017,            0.005017,            0.005017
                 153,            0.018337,            0.017439,           0.0033596,             0.90319,             0.92333,             0.94183,             0.71184,            0.033331,           0.0068927,           0.0066796,            0.004984,            0.004984,            0.004984
                 154,            0.018377,            0.017189,            0.003224,             0.87798,             0.93012,             0.93741,             0.70025,            0.034506,           0.0066587,           0.0042132,            0.004951,            0.004951,            0.004951
